ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance_Type,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage kmpl,Engine CC,seater,City
Diesel,Sedan,100000,Automatic,3,BMW,BMW 5 Series,2011,520d Sedan,220000.0,2011,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,18.48,1995,5.0,Bangalore
Petrol,Hatchback,18083,Manual,1,Maruti,Maruti Swift,2016,VXI,58200.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,22.38,1197,,Bangalore
Petrol,SUV,30000,Manual,1,Renault,Renault Duster,2020,RXS,109000.0,2020,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,16.42,1498,,Bangalore
Petrol,Hatchback,57634,Manual,2,Tata,Tata Tiago,2016,1.2 Revotron XZ,45700.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84,1199,5.0,Bangalore
Petrol,Sedan,50000,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,S 500 L,490000.0,2016,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,7.81,4663,5.0,Bangalore
Petrol,Sedan,110000,Manual,1,Honda,Honda City,2015,i VTEC V,55000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.4,1497,5.0,Bangalore
Petrol,Hatchback,23447,Automatic,1,Hyundai,Hyundai Santro,2018,Sportz AMT BSIV,57000.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.3,1086,,Bangalore
Lpg,Hatchback,30000,Manual,2,Hyundai,Hyundai Santro Xing,2009,GLS LPG,22000.0,2009,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Cd Player,13.45,1086,5.0,Bangalore
Petrol,Sedan,33000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,Exclusive E 200,414500.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,15.0,1991,5.0,Bangalore
Diesel,SUV,87667,Manual,2,Mahindra,Mahindra XUV500,2014,W6 2WD,86100.0,2014,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,15.1,2179,,Bangalore
