ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance_Type,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage kmpl,Engine CC,seater,City
Petrol,Hatchback,63720,Manual,2,Hyundai,Hyundai Grand i10,2016,Asta Option,52800.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.9,1197,5.0,Chennai
Petrol,Hatchback,14411,Manual,1,Maruti,Maruti Alto 800,2021,VXI BSVI,43500.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,22.05,796,,Chennai
Petrol,SUV,11000,Automatic,1,Volkswagen,Volkswagen Taigun,2022,1.0 TSI Highline AT BSVI,149000.0,2022,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,18.41,999,5.0,Chennai
Petrol,SUV,21000,Automatic,1,Skoda,Skoda Kushaq,2022,1.5 TSI Style DSG,179000.0,2022,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,18.86,1498,5.0,Chennai
Petrol,SUV,34392,Manual,1,Honda,Honda WR-V,2017,i-VTEC S,62500.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.5,1199,5.0,Chennai
Petrol,Hatchback,20000,Manual,1,Hyundai,Hyundai Grand i10 Nios,2022,Sportz,69000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.7,1197,5.0,Chennai
Petrol,SUV,10000,Manual,1,Kia,Kia Sonet,2022,GTX Plus Turbo iMT BSVI,135000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,18.2,998,5.0,Chennai
Petrol,SUV,20000,Automatic,1,MG,MG Astor,2022,Savvy CVT BSVI,155000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,14.82,1498,5.0,Chennai
Petrol,Hatchback,47000,Automatic,1,Toyota,Toyota Glanza,2019,V CVT,79000.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,19.56,1197,5.0,Chennai
Petrol,Hatchback,60333,Manual,2,Maruti,Maruti Alto K10,2014,VXI,27000.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,23.95,998,,Chennai
Diesel,Hatchback,81058,Manual,1,Hyundai,Hyundai Grand i10,2014,1.2 CRDi Sportz,36500.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,24.0,1186,,Chennai
Petrol,Sedan,51800,Manual,2,Honda,Honda Civic,2010,1.8 S MT,42500.0,2010,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,13.5,1799,5.0,Chennai
Petrol,Hatchback,32797,Manual,2,Hyundai,Hyundai Grand i10,2016,Asta Option,52800.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.9,1197,5.0,Chennai
Petrol,Hatchback,69731,Manual,1,Hyundai,Hyundai Grand i10,2016,Asta Option,51100.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.9,1197,5.0,Chennai
Petrol,Sedan,54000,Manual,2,Honda,Honda City,2016,i VTEC V,62500.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.8,1497,5.0,Chennai
Petrol,Hatchback,110267,Manual,2,Nissan,Nissan Micra Active,2016,XV Petrol,32700.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio,19.49,1198,,Chennai
Petrol,SUV,31767,Manual,1,Mahindra,Mahindra KUV 100,2018,mFALCON G80 K8,50500.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,18.15,1198,6.0,Chennai
Petrol,SUV,45677,Manual,2,Honda,Honda WR-V,2018,i-VTEC VX,64000.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.5,1199,5.0,Chennai
Petrol,Hatchback,66656,Manual,1,Maruti,Maruti Celerio,2017,ZXI,44900.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,25.24,998,,Chennai
Diesel,Sedan,27000,Manual,1,Honda,Honda Amaze,2019,S Diesel,72500.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,24.7,1498,,Chennai
Petrol,Hatchback,37004,Manual,1,Renault,Renault KWID,2021,1.0 RXT Opt,49500.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,21.74,999,,Chennai
Petrol,Hatchback,85274,Manual,2,Hyundai,Hyundai i10,2011,Magna,27100.0,2011,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Power Antenna,Centeral Locking,Day Night Rear View Mirror,,20.36,1197,5.0,Chennai
Diesel,SUV,60000,Manual,2,Hyundai,Hyundai Creta,2017,1.6 CRDi SX,94000.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,19.67,1582,5.0,Chennai
Petrol,Sedan,42000,Manual,1,Honda,Honda City,2017,V MT,79900.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.4,1497,5.0,Chennai
Diesel,SUV,20000,Manual,1,Hyundai,Hyundai Creta,2022,SX Opt Diesel BSVI,185000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,1493.0,113.45,,Chennai
Diesel,MUV,30000,Automatic,1,Kia,Kia Carens,2022,Luxury Plus Diesel AT BSVI,200000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,1493.0,114.41,,Chennai
Diesel,Sedan,25000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,Exclusive E 220 d BSIV,450000.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,16.1,1950,5.0,Chennai
Diesel,SUV,80000,Manual,3,Mahindra,Mahindra XUV500,2014,W6 2WD,70000.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,15.1,2179,,Chennai
Petrol,Sedan,60000,Manual,2,Hyundai,Hyundai Verna,2015,1.6 SX VTVT (O),58500.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.1,1591,5.0,Chennai
Diesel,SUV,20000,Manual,1,Tata,Tata Harrier,2022,XZ Plus BSVI,205000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,16.35,1956,5.0,Chennai
Petrol,SUV,20000,Automatic,1,MG,MG Hector,2022,Sharp CVT,199000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,1451.0,141,,Chennai
Petrol,SUV,20000,Automatic,1,MG,MG Hector,2022,Sharp CVT,199000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,1451.0,141,,Chennai
Diesel,SUV,55037,Manual,2,Hyundai,Hyundai Creta,2020,SX Opt Diesel BSVI,144500.0,2020,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,1493.0,113.45,,Chennai
Petrol,Hatchback,65607,Manual,1,Hyundai,Hyundai Santro,2018,Magna BSIV,45100.0,2019,Zero Dep,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,20.3,1086,,Chennai
Cng,MUV,70000,Manual,1,Maruti,Maruti Ertiga Tour,2021,STD CNG 2019-2022,110000.0,2021,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,1462.0,91.18,,Chennai
Petrol,Hatchback,74777,Manual,1,Hyundai,Hyundai i20,2016,Asta Option 1.2,63099.99999999999,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.6,1197,5.0,Chennai
Petrol,Sedan,102392,Manual,2,Toyota,Toyota Etios,2012,G,41100.0,2012,Comprehensive,,,,,,,,,,17.6,1496,5.0,Chennai
Diesel,Sedan,90210,Manual,1,Skoda,Skoda Rapid,2015,1.5 TDI Ambition Plus,50000.0,2015,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,21.14,1498,5.0,Chennai
Petrol,Sedan,62373,Manual,1,Maruti,Maruti Swift Dzire,2014,VXI,48800.0,2014,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,22.41,1197,,Chennai
Diesel,Sedan,80000,Manual,1,Tata,Tata Zest,2015,Quadrajet 1.3 75PS XE,46000.0,2015,Third Party insurance,Power Steering,Low Fuel Warning Light,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Driver Air Bag,,22.95,1248,,Chennai
Petrol,Hatchback,25219,Automatic,2,Maruti,Maruti Celerio,2018,ZXI AMT,51400.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,26.0,998,,Chennai
Diesel,Hatchback,64409,Manual,3,Maruti,Maruti Swift,2014,VDI BSIV,50800.0,2015,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,25.2,1248,,Chennai
Diesel,SUV,52000,Manual,1,Tata,Tata Nexon,2018,1.5 Revotorq XZ Plus,86500.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,21.5,1497,5.0,Chennai
Petrol,Sedan,30000,Automatic,2,Maruti,Maruti Ciaz,2018,Alpha Automatic BSIV,85500.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.28,1462,5.0,Chennai
Diesel,Sedan,14000,Automatic,1,Mercedes-Benz,Mercedes-Benz S-Class,2020,S 350 d,118000.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,13.5,2925,5.0,Chennai
Diesel,SUV,48574,Manual,1,Hyundai,Hyundai Venue,2019,S Diesel BSIV,92500.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,23.7,1396,,Chennai
Petrol,Sedan,71423,Automatic,1,Honda,Honda City,2012,1.5 V AT,51000.0,2012,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,16.8,1497,5.0,Chennai
Diesel,Sedan,30000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2020,Exclusive E 220 d BSIV,570000.0,2020,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,16.1,1950,5.0,Chennai
Petrol,Hatchback,75498,Manual,1,Maruti,Maruti Wagon R,2013,VXI BS IV,35000.0,2013,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.9,998,5.0,Chennai
Petrol,Sedan,95963,Manual,1,Honda,Honda City,2017,i VTEC S,63000.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,17.8,1497,,Chennai
Petrol,Hatchback,46613,Manual,1,Maruti,Maruti Wagon R,2015,VXI BS IV,41000.0,2015,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player,20.51,998,,Chennai
Petrol,SUV,30000,Manual,1,Honda,Honda WR-V,2017,i-VTEC VX,72500.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.5,1199,5.0,Chennai
Petrol,Sedan,18722,Manual,1,Honda,Honda Amaze,2015,S i-Vtech,46600.0,2015,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio,18.0,1198,,Chennai
Petrol,SUV,5593,Automatic,1,Kia,Kia Seltos,2023,GTX Plus DCT,186400.0,2023,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,16.5,1353,5.0,Chennai
Diesel,SUV,40000,Automatic,1,Audi,Audi Q3,2017,35 TDI Quattro Premium,270000.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,15.73,1968,5.0,Chennai
Petrol,Hatchback,20875,Manual,1,Maruti,Maruti Celerio,2021,VXI BSVI,50300.0,2021,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,,25.24,998,,Chennai
Petrol,Hatchback,46436,Manual,2,Renault,Renault KWID,2018,RXL,30900.0,2018,Third Party,Power Steering,Low Fuel Warning Light,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Child Safety Locks,Radio,25.17,799,,Chennai
Petrol,Sedan,127672,Automatic,1,Honda,Honda City,2016,i VTEC CVT VX,64000.0,2016,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.0,1497,5.0,Chennai
Petrol,SUV,12814,Manual,1,Hyundai,Hyundai Venue,2021,S Plus,84100.0,2021,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.52,1197,,Chennai
Diesel,SUV,26000,Manual,1,Tata,Tata New Safari,2022,XT,189000.0,2022,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,16.14,1956,7.0,Chennai
Petrol,Hatchback,45851,Manual,1,Hyundai,Hyundai i10,2011,Magna,28800.0,2011,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Power Antenna,Centeral Locking,Day Night Rear View Mirror,,20.36,1197,5.0,Chennai
Petrol,SUV,36349,Manual,1,Hyundai,Hyundai Venue,2021,SX Turbo iMT,94000.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,18.0,998,,Chennai
Petrol,Hatchback,35000,Automatic,1,Volkswagen,Volkswagen Polo,2018,GT TSI,84500.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.21,1197,5.0,Chennai
Diesel,SUV,17059,Automatic,1,Tata,Tata New Safari,2021,XZA Plus AT BSVI,205600.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,14.08,1956,7.0,Chennai
Diesel,SUV,37000,Automatic,1,BMW,BMW X5,2019,xDrive 30d xLine,770000.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,13.38,2993,5.0,Chennai
Petrol,Hatchback,48163,Manual,2,Maruti,Maruti Wagon R,2016,VXI BS IV,40000.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player,20.51,998,,Chennai
Petrol,Sedan,40000,Manual,3,Maruti,Maruti Swift Dzire,2013,VXI,42500.0,2013,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player,19.1,1197,5.0,Chennai
Diesel,Sedan,150000,Manual,2,Tata,Tata Indigo,2008,LS,20000.0,2008,Third Party insurance,Low Fuel Warning Light,Accessory Power Outlet,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Day Night Rear View Mirror,,17.0,1405,5.0,Chennai
Petrol,Hatchback,20000,Manual,1,Volkswagen,Volkswagen Polo,2020,1.0 MPI Comfortline,75000.0,2020,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.74,999,5.0,Chennai
Diesel,SUV,47000,Automatic,1,Hyundai,Hyundai Creta,2019,1.6 SX Automatic Diesel,169000.0,2020,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.6,1582,5.0,Chennai
Petrol,Hatchback,112711,Manual,1,Hyundai,Hyundai i10,2013,Sportz,31000.0,2013,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Fog Lights Front,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Day Night Rear View Mirror,Cd Player,20.36,1197,5.0,Chennai
Diesel,SUV,53000,Automatic,1,Toyota,Toyota Fortuner,2020,2.8 4WD AT,390000.0,2020,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Dvd Player,15.04,2755,7.0,Chennai
Petrol,Hatchback,65895,Automatic,2,Maruti,Maruti Celerio,2016,VXI AMT,43700.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,,26.68,998,,Chennai
Petrol,SUV,15625,Automatic,1,Mahindra,Mahindra XUV300,2022,W6 AMT Sunroof BSVI,102600.0,2022,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,17.0,1197,,Chennai
Diesel,Hatchback,107595,Manual,1,Maruti,Maruti Swift,2015,ZDI BSIV,56000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,25.2,1248,5.0,Chennai
Petrol,Hatchback,23838,Manual,1,Maruti,Maruti Ignis,2017,1.2 Zeta BSIV,53200.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,20.89,1197,5.0,Chennai
Petrol,Hatchback,28975,Manual,1,Maruti,Maruti Alto K10,2015,VXI,32300.0,2015,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,24.39,998,,Chennai
Petrol,SUV,30742,Manual,1,Honda,Honda WR-V,2018,i-VTEC VX,77000.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,17.5,1199,5.0,Chennai
Petrol,Hatchback,10363,Manual,1,Maruti,Maruti S-Presso,2022,VXI Plus 2019-2022,49200.0,2022,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,21.7,998,,Chennai
Petrol,Sedan,100000,Manual,1,Honda,Honda City,2015,i VTEC V,65000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.4,1497,5.0,Chennai
Petrol,Sedan,75555,Manual,1,Honda,Honda City,2016,i VTEC V,63300.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.8,1497,5.0,Chennai
Petrol,SUV,60929,Manual,2,Hyundai,Hyundai Creta,2018,1.6 SX,98200.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,15.8,1591,5.0,Chennai
Diesel,SUV,78000,Automatic,2,BMW,BMW X5,2009,xDrive 30d,135000.0,2009,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,11.7,2993,5.0,Chennai
Diesel,SUV,120000,Manual,1,Maruti,Maruti Vitara Brezza,2017,ZDi Plus,90000.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,24.3,1248,5.0,Chennai
Diesel,Sedan,143185,Manual,1,Honda,Honda Amaze,2014,S i-Dtech,37000.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,25.8,1498,,Chennai
Petrol,Sedan,115434,Manual,1,Maruti,Maruti Ciaz,2017,1.4 Alpha,62000.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,20.73,1373,5.0,Chennai
Petrol,Hatchback,43000,Manual,1,Maruti,Maruti Ignis,2018,Delta BSVI,48000.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,20.89,1197,,Chennai
Petrol,Hatchback,63309,Manual,1,Honda,Honda Brio,2015,1.2 VX MT,43000.0,2016,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,18.5,1198,5.0,Chennai
Diesel,Hatchback,150000,Manual,1,Maruti,Maruti Swift,2015,ZDI BSIV,50000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,25.2,1248,5.0,Chennai
Diesel,Sedan,53000,Automatic,1,BMW,BMW 7 Series,2019,Signature 730Ld,760000.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,16.46,2993,5.0,Chennai
Petrol,Hatchback,39386,Manual,1,Maruti,Maruti Baleno,2019,Alpha,79000.0,2019,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,21.01,1197,5.0,Chennai
Diesel,Sedan,42000,Automatic,1,BMW,BMW 6 Series,2018,GT 630d M Sport 2018-2021,520000.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,17.09,2993,4.0,Chennai
Petrol,MUV,29257,Automatic,1,Renault,Renault Triber,2021,RXZ EASY-R AMT BSVI,77600.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,18.2,999,,Chennai
