ft,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Mileage kmpl,Engine CC,seater,City
Petrol,83394,Manual,2,Renault,Renault Duster,2014,Petrol RxE,63000.0,13.24,1598.0,5.0,Bangalore
Diesel,30000,Automatic,2,Audi,Audi Q5,2016,30 TDI Sport Edition,259899.99999999997,14.16,1968.0,5.0,Bangalore
Petrol,80000,Manual,3,Hyundai,Hyundai i10,2009,Sportz 1.2,24900.000000000004,20.36,1197.0,5.0,Bangalore
Petrol,52204,Manual,1,Maruti,Maruti Alto K10,2017,VXI,38500.0,24.39,998.0,3.0,Bangalore
Petrol,110000,Manual,3,Hyundai,Hyundai i20,2012,1.2 Sportz,30000.0,17.0,1197.0,5.0,Bangalore
Diesel,89000,Automatic,1,Ford,Ford Endeavour,2017,3.2 Titanium AT 4X4,297500.0,10.91,3198.0,7.0,Bangalore
Petrol,29813,Manual,2,Maruti,Maruti Alto 800,2014,VXI,27599.999999999996,22.05,796.0,3.0,Bangalore
Petrol,30000,Manual,1,Ford,Ford Figo,2018,1.2P Titanium Opt MT,50000.0,18.16,1196.0,5.0,Bangalore
Petrol,13345,Automatic,1,Maruti,Maruti Ignis,2020,1.2 AMT Zeta BSIV,73000.0,20.89,1197.0,5.0,Bangalore
Diesel,17100,Automatic,1,Hyundai,Hyundai Alcazar,2022,1.5 Signature (O) 7-Seater Diesel AT,224500.0,18.1,1498.0,7.0,Bangalore
Petrol,75000,Manual,1,Hyundai,Hyundai Grand i10,2014,Sportz,39900.0,18.9,1197.0,3.0,Bangalore
Petrol,75523,Manual,2,Hyundai,Hyundai i10,2011,Sportz,31200.0,20.36,1197.0,5.0,Bangalore
Diesel,47000,Manual,1,Mahindra,Mahindra XUV500,2015,W10 2WD,127500.0,16.0,2179.0,7.0,Bangalore
Diesel,36500,Manual,1,Tata,Tata Harrier,2022,XT Plus BSVI,199000.0,16.35,1956.0,5.0,Bangalore
Petrol,28253,Manual,1,Renault,Renault Triber,2020,RXZ,71900.0,20.0,999.0,3.0,Bangalore
Diesel,50000,Manual,1,Hyundai,Hyundai Creta,2016,1.6 CRDi SX Plus,126000.0,19.67,1582.0,5.0,Bangalore
Petrol,90000,Manual,2,Hyundai,Hyundai i10,2010,Magna,30000.0,20.36,1197.0,5.0,Bangalore
Diesel,70000,Automatic,2,BMW,BMW X5,2016,xDrive 30d M Sport,398100.0,15.97,2993.0,5.0,Bangalore
Petrol,52571,Manual,1,Hyundai,Hyundai i20,2016,Asta 1.2,62699.99999999999,18.6,1197.0,5.0,Bangalore
Diesel,70000,Automatic,2,BMW,BMW 3 Series,2010,320d Highline,130000.0,16.07,1995.0,5.0,Bangalore
Petrol,61993,Manual,1,Honda,Honda City,2015,i VTEC V,67200.0,17.4,1497.0,5.0,Bangalore
Diesel,57000,Automatic,1,Hyundai,Hyundai Tucson,2017,2.0 e-VGT 2WD AT GL Opt,182500.0,16.38,1995.0,5.0,Bangalore
Diesel,80000,Manual,2,Toyota,Toyota Fortuner,2021,2.8 2WD MT,350000.0,14.24,2755.0,7.0,Bangalore
Petrol,36359,Manual,1,Hyundai,Hyundai i20,2013,Sportz 1.2,44000.0,18.5,1197.0,5.0,Bangalore
Diesel,70000,Manual,2,Tata,Tata Harrier,2019,XZ BSIV,146000.0,17.0,1956.0,5.0,Bangalore
Petrol,7500,Automatic,1,MG,MG Hector,2022,Sharp CVT,204100.0,1451.0,141.0,3.0,Bangalore
Petrol,30301,Automatic,1,Hyundai,Hyundai Verna,2017,VTVT 1.6 AT SX Option,103300.0,17.0,1591.0,5.0,Bangalore
Petrol,66000,Manual,1,Hyundai,Hyundai i10,2010,Sportz 1.2,27500.0,20.36,1197.0,5.0,Bangalore
Petrol,56010,Manual,1,Hyundai,Hyundai i20,2017,Sportz 1.2,67600.0,18.6,1197.0,3.0,Bangalore
Diesel,47000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,220d 4MATIC Style,429000.0,17.9,2143.0,5.0,Bangalore
Diesel,60000,Manual,2,Nissan,Nissan Terrano,2014,XV Premium 110 PS,65000.0,19.01,1461.0,5.0,Bangalore
Diesel,83829,Manual,1,Maruti,Maruti Swift,2014,VDI BSIV,44400.00000000001,25.2,1248.0,3.0,Bangalore
Petrol,10000,Automatic,1,Renault,Renault KWID,2020,1.0 RXT AMT Opt,51000.0,22.0,999.0,3.0,Bangalore
Diesel,35000,Automatic,2,Renault,Renault Duster,2016,110PS Diesel RxZ AMT,92500.0,19.6,1461.0,5.0,Bangalore
Petrol,51116,Automatic,2,Honda,Honda City,2019,i-VTEC CVT V,102400.0,18.0,1497.0,5.0,Bangalore
Diesel,80000,Manual,3,Skoda,Skoda Rapid,2016,1.5 TDI Elegance Black Package,50000.0,21.14,1498.0,5.0,Bangalore
Petrol,40000,Automatic,2,Volkswagen,Volkswagen Polo,2017,GT TSI,99500.0,17.21,1197.0,5.0,Bangalore
Petrol,85565,Automatic,2,Honda,Honda CR-V,2012,2.4L 4WD AT,93500.0,11.1,2354.0,5.0,Bangalore
Petrol,36916,Manual,1,Ford,Ford Ecosport,2018,1.5 Petrol Titanium Plus BSIV,83400.0,17.0,1497.0,5.0,Bangalore
Diesel,90000,Manual,1,Volkswagen,Volkswagen Polo,2015,1.5 TDI Highline,56000.0,20.14,1498.0,5.0,Bangalore
Petrol,112795,Manual,1,Maruti,Maruti Swift,2012,VXI,45400.0,22.38,1197.0,3.0,Bangalore
Petrol,11000,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,A 200 BSVI,369000.0,1332.0,160.92,3.0,Bangalore
Petrol,120000,Manual,2,Toyota,Toyota Innova,2014,2.0 VX (Petrol) 7 Seater,110000.0,11.4,1998.0,7.0,Bangalore
