ft,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Mileage kmpl,Engine CC,seater,City
Diesel,20000,Automatic,1,Tata,Tata New Safari,2021,XZA Plus (O) 6 Str Adventure Edition AT,219500.0,14.08,1956.0,6.0,Hyderabad
Petrol,10000,Manual,1,Tata,Tata Tiago NRG,2022,XZ BSVI,70000.0,20.09,1199.0,3.0,Hyderabad
Petrol,69552,Manual,1,Hyundai,Hyundai i20,2016,Sportz 1.2,64500.0,18.6,1197.0,3.0,Hyderabad
Petrol,97610,Automatic,1,Renault,Renault KWID,2018,1.0 AMT RXT,39100.0,24.04,999.0,3.0,Hyderabad
Petrol,74914,Automatic,2,Honda,Honda City,2012,1.5 V AT Sunroof,50900.0,16.8,1497.0,5.0,Hyderabad
Diesel,41000,Automatic,1,Tata,Tata Harrier,2022,XZA Plus Dual Tone AT BSVI,227500.0,14.6,1956.0,5.0,Hyderabad
Petrol,101887,Manual,2,Hyundai,Hyundai i20,2015,Sportz 1.2,51600.0,18.6,1197.0,3.0,Hyderabad
Petrol,42217,Manual,2,Maruti,Maruti Wagon R,2012,LXI BS IV,31200.0,18.9,998.0,5.0,Hyderabad
Petrol,63000,Automatic,1,Jeep,Jeep Compass,2019,1.4 Limited Option,197500.0,16.0,1368.0,5.0,Hyderabad
Petrol,80315,Automatic,2,Maruti,Maruti Celerio,2016,VXI AMT,43400.0,26.68,998.0,3.0,Hyderabad
Petrol,55000,Manual,1,Maruti,Maruti Wagon R,2013,VXI,37500.0,18.9,998.0,5.0,Hyderabad
Petrol,64447,Manual,1,Datsun,Datsun GO,2019,T Option Petrol,43200.0,19.83,1198.0,5.0,Hyderabad
Petrol,76947,Automatic,1,Hyundai,Hyundai Grand i10 Nios,2019,AMT Sportz,68800.0,20.7,1197.0,5.0,Hyderabad
Petrol,23110,Manual,1,Datsun,Datsun RediGO,2018,T Option,35000.0,22.7,799.0,3.0,Hyderabad
Petrol,40235,Manual,2,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Sportz BSIV,49600.0,18.9,1197.0,3.0,Hyderabad
Petrol,48992,Manual,1,Maruti,Maruti Swift,2017,VXI BSIV,63000.0,22.0,1197.0,3.0,Hyderabad
Petrol,21000,Automatic,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Magna AT,68500.0,18.9,1197.0,3.0,Hyderabad
Diesel,30465,Automatic,1,Citroen,Citroen C5 Aircross,2021,Shine,320000.0,18.6,1997.0,5.0,Hyderabad
Cng,50000,Manual,1,Maruti,Maruti Celerio,2022,VXI CNG BSVI,63000.0,35.6,998.0,3.0,Hyderabad
Petrol,90000,Manual,2,Honda,Honda Mobilio,2015,V i-VTEC,55000.0,17.3,1497.0,7.0,Hyderabad
Diesel,136083,Manual,1,Honda,Honda Mobilio,2014,S i-DTEC,52000.0,24.2,1498.0,3.0,Hyderabad
Petrol,90000,Manual,2,Honda,Honda City,2007,GXi,25000.0,17.7,1497.0,5.0,Hyderabad
Diesel,100000,Manual,1,Maruti,Maruti Vitara Brezza,2019,ZDi Plus,100000.0,24.3,1248.0,5.0,Hyderabad
Petrol,39817,Manual,2,Maruti,Maruti Ignis,2018,1.2 Delta BSIV,49600.0,20.89,1197.0,3.0,Hyderabad
Diesel,54063,Manual,1,Maruti,Maruti Ciaz,2017,1.3 Zeta,78800.0,28.09,1248.0,5.0,Hyderabad
Petrol,37000,Manual,1,Hyundai,Hyundai i20 N Line,2021,N6 iMT BSVI,99500.0,20.0,998.0,5.0,Hyderabad
Petrol,67372,Manual,1,Hyundai,Hyundai Grand i10,2013,Sportz,41600.0,18.9,1197.0,3.0,Hyderabad
Petrol,76685,Manual,1,Maruti,Maruti Alto 800,2019,VXI BSIV,34400.0,24.7,796.0,3.0,Hyderabad
Diesel,115595,Manual,1,Maruti,Maruti Swift,2014,RS VDI,45000.0,22.9,1248.0,5.0,Hyderabad
Petrol,89956,Manual,2,Volkswagen,Volkswagen Polo,2019,1.0 MPI Comfortline,52300.00000000001,17.74,999.0,5.0,Hyderabad
Diesel,120000,Manual,2,Maruti,Maruti Swift Dzire,2011,VDi,34000.0,19.3,1248.0,5.0,Hyderabad
Petrol,87189,Manual,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz BSIV,52000.0,18.9,1197.0,3.0,Hyderabad
Petrol,42662,Manual,1,Maruti,Maruti Swift,2019,VXI,62800.0,22.38,1197.0,3.0,Hyderabad
Diesel,69000,Manual,1,Maruti,Maruti Swift,2014,VDI BSIV,52500.0,25.2,1248.0,3.0,Hyderabad
Petrol,63002,Automatic,1,Hyundai,Hyundai Santro,2019,Sportz AMT BSIV,51400.0,20.3,1086.0,3.0,Hyderabad
Diesel,120000,Automatic,1,Volkswagen,Volkswagen Passat,2018,2.0 TDI AT Highline,170000.0,17.42,1968.0,5.0,Hyderabad
Petrol,108000,Manual,1,Hyundai,Hyundai Verna,2008,Xi (Petrol),29000.0,13.9,1599.0,5.0,Hyderabad
Diesel,110000,Manual,2,Mahindra,Mahindra Marazzo,2020,M2 BSVI,95000.0,17.3,1497.0,3.0,Hyderabad
Petrol,40022,Manual,2,Hyundai,Hyundai Verna,2018,VTVT 1.6 SX Option,90000.0,17.0,1591.0,5.0,Hyderabad
Diesel,81000,Manual,1,Maruti,Maruti Baleno,2019,Delta Diesel,75000.0,27.39,1248.0,3.0,Hyderabad
Diesel,70000,Manual,1,Tata,Tata Manza,2011,Aura (ABS) Quadrajet BS IV,30000.0,21.12,1248.0,5.0,Hyderabad
Diesel,46000,Manual,1,Mahindra,Mahindra TUV 300,2019,T6,98000.0,18.49,1493.0,3.0,Hyderabad
Petrol,45911,Automatic,1,Maruti,Maruti Swift,2018,ZXI AMT,67500.0,22.56,1197.0,5.0,Hyderabad
Petrol,87335,Manual,1,Honda,Honda City,2016,i VTEC SV,61600.0,17.8,1497.0,3.0,Hyderabad
Petrol,15600,Manual,3,Maruti,Maruti Gypsy,2004,King ST BSIII,55000.0,11.96,1298.0,3.0,Hyderabad
Petrol,41108,Manual,2,Ford,Ford Ecosport,2018,1.5 Petrol Titanium BSIV,81400.0,17.0,1497.0,5.0,Hyderabad
Petrol,35545,Manual,1,Maruti,Maruti Baleno,2019,1.2 Zeta,75000.0,21.4,1197.0,5.0,Hyderabad
Diesel,120000,Manual,1,Hyundai,Hyundai Xcent,2017,1.1 CRDi S,45000.0,24.4,1120.0,3.0,Hyderabad
Petrol,54631,Manual,1,Hyundai,Hyundai Grand i10,2016,Sportz,49800.00000000001,18.9,1197.0,3.0,Hyderabad
Diesel,107000,Manual,1,Maruti,Maruti Ciaz,2015,VDi Plus,65000.0,26.21,1248.0,3.0,Hyderabad
Petrol,38471,Manual,2,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Magna BSIV,52699.99999999999,18.9,1197.0,3.0,Hyderabad
Petrol,72393,Manual,2,Maruti,Maruti Wagon R,2015,VXI BS IV,32900.0,20.51,998.0,3.0,Hyderabad
Petrol,58000,Manual,1,Ford,Ford Figo,2015,Petrol EXI,35000.0,15.6,1196.0,3.0,Hyderabad
Petrol,20266,Manual,1,Hyundai,Hyundai Santro,2018,Sportz BSIV,54100.0,20.3,1086.0,3.0,Hyderabad
Diesel,120000,Manual,3,Hyundai,Hyundai i20,2012,Magna 1.4 CRDi (Diesel),34000.0,21.9,1396.0,5.0,Hyderabad
Petrol,90000,Manual,2,Hyundai,Hyundai Santro Xing,2008,GLS,18500.0,17.92,1086.0,5.0,Hyderabad
Diesel,84910,Manual,1,Hyundai,Hyundai Creta,2017,1.6 CRDi SX Plus,112500.0,19.67,1582.0,5.0,Hyderabad
Petrol,70000,Manual,1,Honda,Honda City,2020,V MT,100000.0,17.4,1497.0,5.0,Hyderabad
Diesel,120000,Manual,2,Mahindra,Mahindra KUV 100 NXT,2018,D75 K4 Plus 5Str,45000.0,25.32,1198.0,3.0,Hyderabad
Diesel,120000,Manual,2,Hyundai,Hyundai Xcent,2016,1.1 CRDi S,44500.0,24.4,1120.0,3.0,Hyderabad
Diesel,109000,Manual,1,Hyundai,Hyundai Creta,2018,1.6 CRDi SX Option,119500.0,19.67,1582.0,5.0,Hyderabad
Petrol,44000,Manual,1,Maruti,Maruti Celerio,2016,VXI Optional,44000.0,23.1,998.0,3.0,Hyderabad
Petrol,44363,Manual,1,Maruti,Maruti Celerio X,2019,ZXI,50300.0,21.63,998.0,3.0,Hyderabad
Petrol,39461,Automatic,1,Maruti,Maruti Swift Dzire,2018,AMT VXI,70200.0,21.21,1197.0,3.0,Hyderabad
Diesel,120000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2012,E 220 CDI Avantgarde,117500.0,10.0,2148.0,5.0,Hyderabad
Petrol,59126,Manual,1,Maruti,Maruti Baleno,2018,1.2 Zeta,69000.0,21.4,1197.0,5.0,Hyderabad
Petrol,65331,Manual,1,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Asta,52000.0,18.9,1197.0,5.0,Hyderabad
Petrol,45000,Manual,1,Maruti,Maruti Baleno,2017,RS,69900.0,21.1,998.0,3.0,Hyderabad
Petrol,41378,Manual,2,Maruti,Maruti Swift,2013,VXI,43600.0,22.38,1197.0,3.0,Hyderabad
Diesel,120000,Manual,1,Tata,Tata Manza,2013,Club Class Quadrajet90 EX,25000.0,21.02,1248.0,5.0,Hyderabad
Petrol,124781,Manual,1,Honda,Honda City,2014,i VTEC V,50199.99999999999,17.4,1497.0,5.0,Hyderabad
Petrol,63313,Manual,1,Maruti,Maruti Swift,2016,VXI,51000.0,22.38,1197.0,3.0,Hyderabad
Diesel,62535,Manual,1,Maruti,Maruti Baleno,2016,Delta Diesel,66000.0,27.39,1248.0,3.0,Hyderabad
Petrol,89581,Manual,1,Maruti,Maruti Baleno,2017,1.2 Alpha,59900.0,21.4,1197.0,5.0,Hyderabad
Diesel,120000,Manual,2,Ford,Ford Fiesta Classic,2011,1.4 Duratorq LXI,25000.0,19.68,1399.0,3.0,Hyderabad
Diesel,78866,Automatic,1,Jaguar,Jaguar XE,2017,2.0L Diesel Prestige,340000.0,13.6,1999.0,5.0,Hyderabad
Diesel,120000,Automatic,2,Volkswagen,Volkswagen Jetta,2014,2.0L TDI Highline AT,75000.0,16.96,1968.0,5.0,Hyderabad
Diesel,58000,Manual,1,Mahindra,Mahindra XUV500,2018,W9 BSIV,159500.0,15.1,2179.0,7.0,Hyderabad
Petrol,90000,Manual,1,Maruti,Maruti Wagon R,2012,LXI,31000.0,21.79,998.0,3.0,Hyderabad
Petrol,59000,Manual,1,Maruti,Maruti Baleno,2017,RS,67500.0,21.1,998.0,3.0,Hyderabad
Diesel,66000,Automatic,1,Jaguar,Jaguar XJ,2013,3.0L,350000.0,10.5,2993.0,4.0,Hyderabad
Diesel,100000,Automatic,3,Mercedes-Benz,Mercedes-Benz M-Class,2011,ML 350 4Matic,120000.0,2987.0,3800.0,3.0,Hyderabad
Petrol,99003,Manual,1,Maruti,Maruti S-Presso,2019,VXI Opt 2019-2022,39200.0,21.7,998.0,3.0,Hyderabad
Petrol,76003,Manual,1,Maruti,Maruti S-Presso,2019,VXI Opt 2019-2022,40100.0,21.7,998.0,3.0,Hyderabad
Diesel,70000,Automatic,1,Audi,Audi Q5,2017,30 TDI quattro Premium,420000.0,14.16,1968.0,5.0,Hyderabad
Petrol,101863,Manual,3,Maruti,Maruti Baleno,2017,1.2 Zeta,58099.99999999999,21.4,1197.0,5.0,Hyderabad
Diesel,107344,Automatic,1,Volkswagen,Volkswagen Vento,2018,1.5 TDI Highline AT,90900.0,22.15,1498.0,5.0,Hyderabad
Diesel,100000,Automatic,3,Mercedes-Benz,Mercedes-Benz M-Class,2011,ML 350 4Matic,240000.0,2987.0,3800.0,3.0,Hyderabad
Petrol,56129,Manual,1,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Asta,54300.0,18.9,1197.0,5.0,Hyderabad
Diesel,70599,Manual,1,Maruti,Maruti Ertiga,2019,SHVS ZDI Plus,110000.0,24.52,1248.0,7.0,Hyderabad
Diesel,97208,Automatic,1,Honda,Honda Amaze,2018,V CVT Diesel BSIV,74300.0,23.8,1498.0,3.0,Hyderabad
Petrol,53509,Manual,2,Skoda,Skoda Rapid,2020,1.0 TSI Style,99700.0,18.97,999.0,5.0,Hyderabad
Diesel,52000,Manual,1,Jeep,Jeep Compass,2017,2.0 Sport,159900.0,17.1,1956.0,3.0,Hyderabad
Petrol,97621,Manual,1,Hyundai,Hyundai i20,2021,Sportz BSVI,81100.0,21.0,1197.0,3.0,Hyderabad
Petrol,113000,Manual,1,Hyundai,Hyundai i10,2009,Era 1.1,25000.0,19.81,1086.0,3.0,Hyderabad
Diesel,152000,Manual,1,Toyota,Toyota Innova,2008,2.5 G4 Diesel 8-seater,65000.0,12.8,2494.0,8.0,Hyderabad
Diesel,78000,Manual,1,Maruti,Maruti SX4 S Cross,2018,Zeta DDiS 200 SH,97500.0,25.1,1248.0,5.0,Hyderabad
Diesel,93000,Automatic,1,Audi,Audi A4,2011,2.0 TDI,119900.0,16.55,1968.0,5.0,Hyderabad
Petrol,48000,Manual,1,Mercedes-Benz,Mercedes-Benz S-Class,2001,320 L,99900.0,13.0,2987.0,5.0,Hyderabad
Diesel,55000,Manual,1,Chevrolet,Chevrolet Enjoy,2013,TCDi LTZ 7 Seater,52500.0,18.2,1248.0,7.0,Hyderabad
Diesel,131852,Manual,1,Maruti,Maruti Swift Dzire,2012,VDi,42000.0,19.3,1248.0,5.0,Hyderabad
Petrol,20000,Manual,1,Maruti,Maruti Swift,2021,VXI,60000.0,21.21,1197.0,3.0,Hyderabad
Diesel,44416,Manual,1,Renault,Renault Duster,2019,110PS Diesel RxZ,99600.0,19.6,1461.0,5.0,Hyderabad
Petrol,69408,Manual,3,Honda,Honda Brio,2012,S MT,31100.0,19.4,1198.0,3.0,Hyderabad
Petrol,10000,Manual,1,Volkswagen,Volkswagen Taigun,2022,1.0 TSI Topline BSVI,170000.0,20.08,999.0,5.0,Hyderabad
Petrol,78911,Manual,2,Maruti,Maruti Baleno,2016,1.2 Zeta,57200.0,21.4,1197.0,5.0,Hyderabad
Petrol,85298,Manual,1,Datsun,Datsun GO,2017,T,30700.0,19.02,1198.0,3.0,Hyderabad
Petrol,60529,Manual,1,Honda,Honda City,2014,i VTEC S,45400.0,17.4,1497.0,3.0,Hyderabad
Diesel,115276,Manual,2,Skoda,Skoda Rapid,2017,1.5 TDI Style BSIV,77500.0,21.13,1498.0,5.0,Hyderabad
Diesel,60000,Automatic,1,Maruti,Maruti Vitara Brezza,2019,VDi AMT,85000.0,24.3,1248.0,3.0,Hyderabad
Petrol,30241,Manual,1,Renault,Renault Duster,2020,RXE,90700.0,16.42,1498.0,3.0,Hyderabad
Petrol,24197,Manual,1,Hyundai,Hyundai Santro,2019,Sportz BSIV,50900.0,20.3,1086.0,3.0,Hyderabad
Petrol,20000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,200 BSVI,480000.0,1332.0,160.92,3.0,Hyderabad
Petrol,44981,Manual,1,Hyundai,Hyundai i20 N Line,2021,N6 iMT Dual Tone BSVI,94000.0,20.0,998.0,5.0,Hyderabad
Diesel,85497,Manual,2,Nissan,Nissan Micra,2011,Diesel XV Premium,22700.0,23.08,1461.0,5.0,Hyderabad
Petrol,20000,Automatic,1,Audi,Audi Q5,2022,Technology BSVI,620000.0,13.47,1984.0,5.0,Hyderabad
Petrol,30000,Manual,1,Maruti,Maruti Baleno,2019,1.2 Delta,65000.0,21.4,1197.0,3.0,Hyderabad
Diesel,80000,Manual,1,Maruti,Maruti Swift,2017,DDiS VDI,58000.0,28.4,1248.0,3.0,Hyderabad
Petrol,41000,Automatic,1,Honda,Honda Brio,2017,1.2 VX AT,59500.0,16.5,1198.0,5.0,Hyderabad
Diesel,73000,Automatic,1,Hyundai,Hyundai Creta,2017,1.6 CRDi AT SX Plus,110000.0,17.01,1582.0,5.0,Hyderabad
Petrol,40000,Manual,1,Maruti,Maruti Swift Dzire,2022,VXI BSVI,77000.0,22.41,1197.0,3.0,Hyderabad
Petrol,27000,Manual,1,Maruti,Maruti Swift,2018,ZXI 2018,69500.0,22.0,1197.0,5.0,Hyderabad
Petrol,57380,Manual,3,Tata,Tata Tiago,2018,1.2 Revotron XZ,49600.0,23.84,1199.0,5.0,Hyderabad
Diesel,81334,Automatic,1,Hyundai,Hyundai Elantra,2018,1.6 SX Option AT,126100.0,18.23,1582.0,5.0,Hyderabad
Cng,70000,Manual,1,Maruti,Maruti Swift Dzire,2022,VXI CNG BSVI,87500.0,31.12,1197.0,3.0,Hyderabad
Diesel,32483,Manual,1,Tata,Tata Nexon,2021,XM Diesel,92800.0,23.22,1497.0,3.0,Hyderabad
Diesel,71220,Manual,2,Maruti,Maruti Vitara Brezza,2016,ZDi,80399.99999999999,24.3,1248.0,5.0,Hyderabad
Petrol,17459,Manual,1,Kia,Kia Sonet,2021,HTX Turbo iMT BSVI,110000.0,18.2,998.0,5.0,Hyderabad
Petrol,6517,Manual,1,Maruti,Maruti Brezza,2023,Zxi,127500.0,17.38,1462.0,5.0,Hyderabad
Diesel,70427,Manual,1,Hyundai,Hyundai Creta,2018,1.4 E Plus CRDi,95000.0,22.1,1396.0,3.0,Hyderabad
Petrol,52306,Automatic,1,Maruti,Maruti Alto K10,2018,VXI AGS Optional,40000.0,23.95,998.0,3.0,Hyderabad
Diesel,111670,Automatic,1,Volkswagen,Volkswagen Vento,2015,1.5 TDI Highline AT,55000.0,21.21,1498.0,5.0,Hyderabad
Petrol,40000,Manual,1,Maruti,Maruti Wagon R,2019,VXI,47500.0,21.79,998.0,3.0,Hyderabad
Diesel,67000,Manual,1,Hyundai,Hyundai i20 Active,2017,1.4 SX,72000.0,21.19,1396.0,5.0,Hyderabad
Diesel,77000,Automatic,1,BMW,BMW 5 Series,2018,520d Luxury Line,405000.0,20.37,1995.0,5.0,Hyderabad
Diesel,71000,Automatic,1,BMW,BMW X5,2016,xDrive 30d Design Pure Experience 5 Seater,387500.0,15.97,2993.0,5.0,Hyderabad
Petrol,88471,Manual,3,Honda,Honda City,2012,E,41700.0,16.8,1497.0,5.0,Hyderabad
Diesel,88479,Manual,1,Hyundai,Hyundai Grand i10,2018,1.2 CRDi Sportz,53200.0,24.0,1186.0,3.0,Hyderabad
Petrol,39000,Manual,1,Maruti,Maruti XL6,2020,Zeta,115000.0,19.01,1462.0,6.0,Hyderabad
Diesel,50003,Automatic,1,Volkswagen,Volkswagen Vento,2018,1.5 TDI Highline AT,94400.0,22.15,1498.0,5.0,Hyderabad
Petrol,82163,Manual,1,Hyundai,Hyundai Grand i10,2017,1.2 Kappa Sportz BSIV,50100.0,18.9,1197.0,3.0,Hyderabad
Petrol,40000,Manual,1,Maruti,Maruti Baleno,2022,Zeta BSVI,85000.0,22.35,1197.0,5.0,Hyderabad
Petrol,108560,Manual,1,Maruti,Maruti Swift,2016,VXI,47200.0,22.38,1197.0,3.0,Hyderabad
Diesel,70000,Manual,1,Mahindra,Mahindra XUV500,2014,W8 FWD,86000.0,15.1,2179.0,7.0,Hyderabad
Petrol,28292,Manual,1,Datsun,Datsun RediGO,2021,1.0 T Option,46900.00000000001,21.7,999.0,3.0,Hyderabad
Petrol,117467,Manual,1,Maruti,Maruti Alto 800,2017,LXI Optional,28900.0,24.7,796.0,3.0,Hyderabad
Petrol,65000,Manual,1,Maruti,Maruti Baleno,2019,1.2 Zeta,69000.0,21.4,1197.0,5.0,Hyderabad
Petrol,60541,Manual,1,Hyundai,Hyundai i10,2012,Sportz,32100.0,20.36,1197.0,5.0,Hyderabad
Petrol,60000,Manual,1,Ford,Ford Ecosport,2015,1.0 Ecoboost Titanium,57500.0,18.88,999.0,5.0,Hyderabad
Petrol,76355,Manual,1,Honda,Honda City,2019,i-VTEC V,89000.0,17.4,1497.0,5.0,Hyderabad
Petrol,60000,Automatic,1,Maruti,Maruti S-Presso,2021,VXI AT 2019-2022,52500.0,21.7,998.0,3.0,Hyderabad
Diesel,50000,Manual,1,Nissan,Nissan Terrano,2019,XL D Option,90000.0,19.87,1461.0,5.0,Hyderabad
Diesel,96000,Manual,1,MG,MG Hector,2019,Sharp Diesel MT,165000.0,17.41,1956.0,5.0,Hyderabad
Diesel,63000,Manual,1,Mahindra,Mahindra XUV300,2020,W8 Option Diesel BSIV,112000.0,20.0,1497.0,5.0,Hyderabad
Petrol,40000,Manual,1,Hyundai,Hyundai Grand i10 Nios,2020,Sportz,59900.0,20.7,1197.0,5.0,Hyderabad
Petrol,30000,Manual,1,Hyundai,Hyundai Venue,2021,SX Sport iMT,102000.0,18.0,998.0,3.0,Hyderabad
Petrol,101543,Manual,1,Maruti,Maruti Swift Dzire,2014,VXI,44300.0,22.41,1197.0,3.0,Hyderabad
Petrol,66424,Manual,1,Maruti,Maruti Baleno,2016,1.2 Alpha,64400.00000000001,21.4,1197.0,5.0,Hyderabad
Petrol,120000,Manual,1,Maruti,Maruti SX4 S Cross,2020,Zeta,75000.0,18.55,1462.0,5.0,Hyderabad
Petrol,33433,Manual,1,Tata,Tata Tiago,2018,1.2 Revotron XZ,51900.00000000001,23.84,1199.0,5.0,Hyderabad
Diesel,72169,Manual,1,Hyundai,Hyundai i20,2016,Asta Option 1.4 CRDi,69500.0,22.54,1396.0,5.0,Hyderabad
Petrol,48175,Automatic,1,Honda,Honda City,2018,i-VTEC CVT VX,98100.0,18.0,1497.0,5.0,Hyderabad
Petrol,73452,Manual,1,Maruti,Maruti Celerio,2014,VXI,42500.0,23.1,998.0,3.0,Hyderabad
Petrol,54807,Automatic,1,MG,MG Hector,2020,Sharp DCT,153700.0,13.96,1451.0,5.0,Hyderabad
Petrol,47118,Manual,1,Maruti,Maruti Alto 800,2017,LXI,32300.0,22.05,796.0,3.0,Hyderabad
Petrol,100000,Manual,1,Tata,Tata Nexon,2017,1.2 Revotron XZ Plus,70000.0,17.0,1198.0,5.0,Hyderabad
Petrol,41192,Manual,1,Nissan,Nissan Magnite,2021,XV Premium BSVI,80900.0,18.75,999.0,5.0,Hyderabad
Diesel,70000,Manual,1,Tata,Tata Harrier,2019,XZ BSIV,178500.0,17.0,1956.0,5.0,Hyderabad
Diesel,105264,Automatic,1,Ford,Ford Endeavour,2016,3.2 Titanium AT 4X4,265000.0,10.91,3198.0,7.0,Hyderabad
Petrol,70000,Automatic,1,Honda,Honda CR-V,2012,2.4L 4WD AT,119500.0,11.1,2354.0,5.0,Hyderabad
Diesel,50380,Automatic,1,Land Rover,Land Rover Range Rover Evoque,2017,2.0 TD4 Pure,480000.0,15.68,1999.0,5.0,Hyderabad
Diesel,80000,Manual,2,Tata,Tata Manza,2010,Aura Plus Quadrajet BS IV,24500.0,19.0,1248.0,3.0,Hyderabad
Petrol,51000,Manual,1,Maruti,Maruti Celerio,2016,ZXI,42500.0,23.1,998.0,3.0,Hyderabad
Petrol,31846,Manual,1,Renault,Renault KWID,2017,1.0 RXL,38500.0,23.01,999.0,3.0,Hyderabad
Diesel,63000,Manual,1,Hyundai,Hyundai Grand i10,2015,CRDi Asta,54500.0,24.0,1120.0,5.0,Hyderabad
Diesel,114676,Manual,2,Hyundai,Hyundai i20,2015,Asta 1.4 CRDi,58800.0,22.54,1396.0,5.0,Hyderabad
Diesel,82662,Manual,1,Hyundai,Hyundai i20,2019,Sportz Plus Diesel,74700.0,22.54,1396.0,5.0,Hyderabad
Petrol,50000,Manual,2,Maruti,Maruti Alto K10,2014,VXI,28000.0,23.95,998.0,3.0,Hyderabad
Petrol,66518,Manual,1,Renault,Renault Triber,2019,RXZ,63300.0,20.0,999.0,3.0,Hyderabad
Petrol,57927,Manual,1,Honda,Honda City,2017,i VTEC VX,81400.0,17.8,1497.0,5.0,Hyderabad
Petrol,40000,Manual,1,Maruti,Maruti Ciaz,2019,Alpha BSIV,90000.0,21.56,1462.0,5.0,Hyderabad
Petrol,16115,Manual,1,Tata,Tata Tiago,2021,XT BSVI,60500.0,19.01,1199.0,3.0,Hyderabad
Petrol,50829,Manual,2,Hyundai,Hyundai i10,2009,Asta 1.2,27000.0,20.36,1197.0,5.0,Hyderabad
Petrol,25467,Manual,1,Hyundai,Hyundai Grand i10 Nios,2019,Sportz,62200.0,20.7,1197.0,5.0,Hyderabad
Petrol,71071,Manual,1,Maruti,Maruti Alto 800,2020,LXI,31700.0,22.05,796.0,3.0,Hyderabad
Petrol,55000,Manual,1,Hyundai,Hyundai Verna,2016,1.6 VTVT SX,79500.0,17.01,1591.0,5.0,Hyderabad
Petrol,55563,Manual,2,Hyundai,Hyundai i20,2017,Sportz 1.2,60199.99999999999,18.6,1197.0,3.0,Hyderabad
Petrol,54000,Automatic,1,Hyundai,Hyundai Grand i10,2015,AT Asta,57500.0,18.9,1197.0,5.0,Hyderabad
Petrol,70000,Manual,2,Hyundai,Hyundai i20,2019,Petrol Spotz,67500.0,18.6,1197.0,3.0,Hyderabad
Diesel,54000,Automatic,1,Volvo,Volvo S60,2017,D4 KINETIC,199899.99999999997,27.03,1969.0,5.0,Hyderabad
Petrol,41000,Automatic,1,Ford,Ford Ecosport,2016,1.5 Petrol Titanium AT,75000.0,14.7,1496.0,5.0,Hyderabad
Petrol,70000,Manual,2,Hyundai,Hyundai i20,2011,1.2 Magna,35000.0,18.5,1197.0,5.0,Hyderabad
Petrol,62500,Manual,1,Maruti,Maruti Baleno,2020,Zeta,74900.0,21.01,1197.0,5.0,Hyderabad
Petrol,20000,Manual,1,Hyundai,Hyundai Santro,2021,Sportz,55000.0,20.3,1086.0,3.0,Hyderabad
Petrol,60350,Manual,1,Hyundai,Hyundai i20,2016,Sportz 1.2,59900.0,18.6,1197.0,3.0,Hyderabad
Petrol,52266,Manual,1,Hyundai,Hyundai i20,2015,Sportz 1.2,57000.0,18.6,1197.0,3.0,Hyderabad
Diesel,58431,Manual,1,Maruti,Maruti Ciaz,2018,Alpha Diesel,89500.0,28.09,1248.0,5.0,Hyderabad
Petrol,41372,Automatic,1,Honda,Honda City,2017,i VTEC CVT VX,101100.0,18.0,1497.0,5.0,Hyderabad
Petrol,46863,Manual,2,Maruti,Maruti Alto 800,2014,LXI,26700.0,22.05,796.0,3.0,Hyderabad
Petrol,66500,Automatic,1,Nissan,Nissan Sunny,2014,XL CVT,57000.0,17.97,1498.0,3.0,Hyderabad
Petrol,49374,Manual,2,Hyundai,Hyundai i10,2014,Sportz 1.1L,36900.0,19.81,1086.0,3.0,Hyderabad
Diesel,120000,Manual,2,Skoda,Skoda Rapid,2012,1.6 TDI Ambition,36000.0,20.5,1598.0,5.0,Hyderabad
Petrol,62832,Manual,1,Tata,Tata Tiago,2021,XT BSVI,60500.0,19.01,1199.0,3.0,Hyderabad
Petrol,61155,Manual,2,Hyundai,Hyundai i20,2016,Sportz 1.2,58500.0,18.6,1197.0,3.0,Hyderabad
Diesel,75000,Automatic,1,BMW,BMW 1 Series,2014,118d Sport Line,179899.99999999997,20.58,1995.0,5.0,Hyderabad
Petrol,12045,Manual,2,Maruti,Maruti Swift,2021,VXI,72300.0,22.38,1197.0,3.0,Hyderabad
Petrol,60700,Manual,1,Maruti,Maruti Ciaz,2020,Alpha BSVI,89500.0,20.65,1462.0,5.0,Hyderabad
Diesel,85000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2013,C 220 CDI BE Avantgare,135000.0,14.84,2143.0,5.0,Hyderabad
Petrol,44276,Automatic,1,Honda,Honda City,2020,CVT,132000.0,16.4,1497.0,5.0,Hyderabad
Diesel,99000,Automatic,1,Audi,Audi A4,2015,35 TDI Technology Edition,199899.99999999997,17.11,1968.0,5.0,Hyderabad
Diesel,78000,Automatic,1,Audi,Audi A6,2015,35 TDI Premium,249899.99999999997,17.68,1968.0,5.0,Hyderabad
