it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,imgUrl,heading,description,Registration Year,Insurance_Type,Fuel,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year_of_manufacture,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage,Engine_spec,Power,Torque,wheel_dimension,seater,City
0,Petrol,Hatchback,"82,030",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2015,1542,Asta,₹ 4.69 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2015,Comprehensive,Petrol,5 Seats,"82,030 Kms",RJ14,First Owner,1197 cc,Manual,2015.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player,18.9 kmpl,1197 CC,82bhp,114Nm,14,5,Jaipur
0,Petrol,Hatchback,"31,469",Automatic,1,1st Owner,Maruti,Maruti Baleno,2017,3960,1.2 CVT Zeta,₹ 7.16 Lakh,₹ 7.17 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Feb 2017,Third Party insurance,Petrol,5 Seats,"31,469 Kms",RJ14,First Owner,1197 cc,Automatic,2017.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,21.4 kmpl,1197 CC,83.1bhp,115Nm,16,5,Jaipur
0,Petrol,SUV,"20,000",Manual,1,1st Owner,Maruti,Maruti SX4 S Cross,2022,7934,Zeta,₹ 10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2022,Third Party insurance,Petrol,5 Seats,"20,000 Kms",RJ27,First Owner,1462 cc,Manual,2022.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,18.55 kmpl,1462 CC,103.25bhp,138Nm,16,5,Jaipur
0,Petrol,Hatchback,"70,000",Manual,3,3rd Owner,Chevrolet,Chevrolet Spark,2010,593,1.0 LS,₹ 1.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2010,Third Party insurance,Petrol,5 Seats,"70,000 Kms",Third Owner,995 cc,Manual,2010,,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Power Door Locks,Child Safety Locks,,18 kmpl,995 CC,62bhp,90.3Nm,13,5,Jaipur
0,Diesel,Hatchback,"1,20,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2014,1656,Sportz 1.4 CRDi,₹ 3.05 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2014,Third Party insurance,Diesel,5 Seats,"1,20,000 Kms",RJ14,First Owner,1396 cc,Manual,2014.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,21.9 kmpl,1396 CC,88.76bhp,219.6Nm,14,5,Jaipur
0,Diesel,Sedan,"1,20,000",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,2017,4222,VDI Optional,₹ 5.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2017,Third Party insurance,Diesel,5 Seats,"1,20,000 Kms",Second Owner,1248 cc,Manual,2017,,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,26.59 kmpl,1248 CC,74bhp,190Nm,5,,Jaipur
0,Diesel,SUV,"90,000",Automatic,3,3rd Owner,Audi,Audi Q3,2014,91,2.0 TDI,₹ 13 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2014,Third Party insurance,Diesel,5 Seats,"90,000 Kms",HR30,Third Owner,1968 cc,Automatic,2014.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,15.73 kmpl,1968 CC,174.33bhp,380Nm,16,5,Jaipur
0,Petrol,Hatchback,"70,000",Manual,5,5th Owner,Honda,Honda Brio,2012,1203,S MT,₹ 2.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2012,Third Party insurance,Petrol,5 Seats,"70,000 Kms",Fifth Owner,1198 cc,Manual,2012,,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio,19.4 kmpl,1198 CC,86.8bhp,109Nm,5,,Jaipur
0,Diesel,Sedan,"90,000",Manual,2,2nd Owner,Hyundai,Hyundai Verna,2013,1817,1.6 SX,₹ 5.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2013,Third Party insurance,Diesel,5 Seats,"90,000 Kms",Second Owner,1582 cc,Manual,2013,,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,22.32 kmpl,1582 CC,126.32bhp,259.8Nm,16,5,Jaipur
0,Lpg,Sedan,"1,00,000",Manual,2,2nd Owner,Hyundai,Hyundai Accent,2011,1425,Executive LPG,₹ 2.10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2011,Third Party insurance,LPG,5 Seats,"1,00,000 Kms",RJ14,Second Owner,1495 cc,Manual,2011.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,,13.2 kmpl,1495 CC,93.7bhp,124.5Nm,13,5,Jaipur
